                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2542,                  1.784,                  1.053,                 1.1704,                0.39133,                0.52601,                0.41096,                0.26161,                0.38734,                0.52266,                 0.4024,                 0.2261,                 1.6214,                 1.3297,                 1.9613,                 1.5065,               0.008548,               0.008548,               0.008548
                     24,                 1.2447,                 1.7723,                 1.0342,                 1.1636,                0.48687,                0.65206,                0.53409,                0.36811,                0.48194,                0.64646,                0.52703,                0.33504,                 1.5308,                 1.2235,                 1.7217,                 1.4256,               0.008482,               0.008482,               0.008482
                     25,                 1.2356,                 1.7412,                 1.0385,                 1.1732,                0.54951,                0.63867,                0.56471,                0.37567,                0.54352,                 0.6331,                 0.5553,                0.33059,                 1.3992,                 1.3196,                 1.2995,                 1.2841,               0.008416,               0.008416,               0.008416
                     26,                 1.2346,                 1.7466,                 1.0435,                 1.1648,                0.55027,                0.53781,                0.52398,                 0.3122,                 0.5393,                0.52451,                0.50241,                0.25712,                 1.5124,                  1.248,                 1.4176,                 1.4754,                0.00835,                0.00835,                0.00835
                     27,                 1.2237,                 1.6968,                 1.0226,                 1.1574,                0.58978,                 0.7297,                0.68976,                0.48915,                0.57966,                0.71634,                0.66591,                0.40811,                 1.2381,                 1.0208,                0.96708,                 1.1818,               0.008284,               0.008284,               0.008284
                     28,                 1.1972,                 1.7315,                0.99535,                 1.1537,                 0.6365,                0.76727,                0.72442,                0.53272,                0.62927,                0.75872,                0.71097,                0.46155,                 1.2021,                 1.0173,                  0.941,                  1.159,               0.008218,               0.008218,               0.008218
                     29,                 1.1999,                 1.7155,                0.99088,                 1.1452,                0.66862,                0.75936,                0.73045,                0.52309,                0.66268,                0.75177,                0.71877,                0.45948,                 1.2644,                 1.0621,                 1.0246,                  1.212,               0.008152,               0.008152,               0.008152
                     30,                 1.1944,                 1.6858,                0.99065,                 1.1477,                0.61441,                0.68171,                0.66191,                0.46062,                0.59916,                0.65331,                0.63648,                0.39729,                 1.3377,                 1.1369,                 1.1384,                 1.2412,               0.008086,               0.008086,               0.008086
                     31,                 1.1979,                 1.6946,                0.98198,                 1.1385,                0.68699,                0.79376,                0.74539,                   0.56,                0.68387,                0.79042,                0.74013,                0.50196,                 1.1958,                 0.9652,                0.91099,                 1.1467,                0.00802,                0.00802,                0.00802
                     32,                 1.1913,                 1.6683,                 0.9693,                 1.1349,                0.64526,                0.67323,                0.71378,                0.51393,                0.66045,                0.63604,                0.68992,                0.43615,                 1.2723,                 1.0382,                 1.0487,                 1.2004,               0.007954,               0.007954,               0.007954
                     33,                  1.178,                 1.6802,                0.96522,                 1.1309,                0.61884,                0.65021,                0.64215,                0.44247,                0.61286,                0.64445,                0.62692,                0.38286,                 1.3075,                 1.1407,                 1.0908,                 1.2291,               0.007888,               0.007888,               0.007888
